category,feature,panzer_marshal,panzer_corps_2,order_of_battle,unity_of_command_2,hex_of_steel,four_star_general,fsg_priority
Content,Standalone historical scenarios,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Content,Tutorial,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Content,Linked campaign,Yes,Yes,Yes,Yes,Yes,Partial,Tier 0
Content,Branching campaign,Partial,Yes,Yes,Yes,Yes,No,Tier 0
Content,Strategic campaign map,Limited,Limited,Limited,Yes,Varies,Partial,Tier 0
Content,Random standalone skirmish,No,Yes,Not verified,Not verified,Yes,No,Tier 1
Content,Large scenario library,Yes,Yes,Yes,Yes,Yes,No,Tier 0
Content,Large equipment library,Yes,Yes,Yes,Not comparable,Yes,No,Tier 1
Map,Varied terrain and movement costs,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Map,Dynamic weather and ground state,Yes,Yes,Yes,Yes,Yes,No,Tier 0
Map,Line of sight and spotting,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Map,Tactical visibility or fog of war,Yes,Yes,Yes,Yes,Optional,Partial,Tier 0
Map,Campaign operational fog,Campaign progression,Campaign progression,Campaign progression,Yes,Optional,Yes,Retain
Intelligence,Intelligence and counterintelligence operations,Limited,Limited,Limited,HQ and intel assets,Broad reconnaissance,Yes,Retain
Map,Zone of control,Yes,Yes,Yes,Yes,Optional,Partial,Tier 1
Map,Encirclement or isolation,Partial,Yes,Yes,Yes,Yes,No,Tier 1
Map,Rivers bridges and fords,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Map,Engineer bridge operations,Yes,Yes,Yes,Partial,Yes,No,Tier 1
Combat,Direct indirect and support fire,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Combat,Suppression and entrenchment,Yes,Yes,Yes,Yes,Yes,Yes,Retain
Combat,Armor penetration,Yes,Yes,Yes,Abstract,Yes,Yes,Retain
Combat,Directional armor facing,Not verified,Limited,Not verified,No,Not verified,Yes,Differentiator
Combat,Mixed formation weapon groups,No,No,No,No,No,Yes,Differentiator
Combat,Deterministic primary attack resolution,No,Optional randomness,Not verified,No,Not verified,Yes,Differentiator
Combat,Interleaved unit initiative,No,No,No,No,No,Yes,Differentiator
Combat,Retreat and surrender,Partial,Yes,Yes,Operational,Yes,No,Tier 1
Combat,Smoke fieldworks and engineering,Partial,Yes,Yes,Partial,Yes,Yes,Retain
Combat,Split and merge units,Partial,Yes,Not verified,Specialist steps,Yes,Partial,Tier 1
Logistics,Ammunition and fuel,Yes,Yes,Supply abstraction,Supply abstraction,Optional,Yes,Retain
Logistics,Traced or networked supply,Yes,Yes,Yes,Yes,Optional,Yes,Retain
Logistics,Tactical convoys and shipments,No,No,No,Truck abstraction,Not verified,Yes,Differentiator
Logistics,Supply priorities and ledgers,No,No,No,HQ upgrades,Not verified,Yes,Differentiator
Logistics,Replacement and overstrength loop,Yes,Yes,Yes,Reorganization,Yes,No,Tier 0
Logistics,Pre-battle force purchase,Yes,Yes,Yes,Force pool,Yes,Yes,Retain
Logistics,Strategic transport and production,No,No,No,Abstract,Varies,Yes,Differentiator
Progression,Persistent core units,Yes,Yes,Yes,Partial,Yes,No,Tier 0
Progression,Unit experience carryover,Yes,Yes,Yes,Yes,Yes,No,Tier 0
Progression,Leaders heroes and awards,Yes,Yes,Yes,Specialists and HQ,Yes,Partial,Tier 1
